order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  433	 106	52.3	  11.7923	 3.0862
 1	  359	 102	47.6	  11.8211	 2.9223
 2	  526	  95	51.9	  11.8366	 2.8191
 3	  639	  96	48.5	  12.0449	 3.0305
 4	  741	 113	49.4	  11.8566	 3.0530
 5	  732	 112	42.1	  11.7349	 2.8545
 6	  943	 101	46.5	  11.8593	 2.7953
 7	 1043	 112	40.8	  11.7636	 2.6120
 8	 1658	 125	51.5	  11.7810	 2.8571
 9	 1864	 123	51.8	  11.8399	 3.0993
10	 2032	 118	48.0	  11.9028	 2.8264
11	 2254	 113	54.4	  11.8888	 3.0643
12	 2528	 115	50.3	  11.8831	 2.8763
13	 2840	 120	47.3	  11.8627	 2.7636
14	 2927	 114	50.4	  11.8060	 3.0823
15	 3199	 113	52.0	  11.8620	 3.2134
16	 3216	 107	52.3	  11.7841	 3.3126
17	 3631	  98	48.0	  11.6931	 3.8096
18	 3510	 110	49.1	  11.7392	 3.1930
19	 3505	 101	45.5	  11.9179	 2.8291
20	 4469	  88	42.2	  11.8605	 2.7027
21	 4862	  89	44.1	  11.8375	 2.9049
22	 5087	 101	43.8	  11.8014	 2.8130
23	 5835	 110	49.1	  11.7854	 2.9849
24	 6138	 105	50.3	  11.8547	 3.0088
25	 6670	  90	44.6	  11.8553	 2.8667
26	 7232	  93	47.6	  11.8713	 2.8878
27	 7253	  79	46.1	  11.9268	 3.2125
28	 7996	  67	48.8	  11.8623	 3.0936
29	 8506	  67	46.7	  11.8239	 2.8833
30	 8591	  76	38.5	  11.9213	 2.7906
31	 8645	  72	42.0	  11.8165	 3.0286
32	 8894	  68	45.5	  11.8349	 2.9580
33	 9241	  67	42.4	  11.8410	 2.7463
34	 9469	  73	37.5	  11.8814	 2.9051
35	 9123	  78	38.8	  11.8544	 2.9644
36	 9018	  68	47.6	  11.8471	 3.0950
37	10343	  55	51.4	  11.8054	 3.3070
38	10748	  65	48.2	  11.8473	 2.8856
39	10991	  85	48.3	  11.8087	 3.1277
40	10190	  68	46.4	  11.7684	 3.0178
41	11165	  67	45.6	  11.8050	 3.0379
42	11448	  78	45.2	  11.8314	 2.9098
43	11067	  60	50.6	  11.8219	 3.7264
44	12299	  73	45.9	  11.8508	 3.0881
45	12241	  73	45.2	  11.8316	 3.3497
46	12248	  42	50.9	  11.8271	 3.7174
47	13224	  59	45.7	  11.8326	 3.7589
48	12377	  46	41.1	  11.7864	 2.9516
49	13829	  52	36.8	  11.8079	 3.2406
50	12710	  40	44.3	  11.7430	 3.4837
51	12553	  47	42.1	  11.7033	 3.6001
52	14067	  59	32.1	  11.7926	 2.7358
53	14635	  41	34.9	  11.8800	 3.0679
54	14962	  39	30.2	  11.8690	 2.8089
55	12377	  30	27.5	  11.8388	 2.7578
56	11967	  13	38.7	  11.7956	 2.8857
57	    0	   0	 0.0	   0.0000	 0.0000
58	15364	  17	44.7	  11.7568	 3.3666
59	14970	  22	35.0	  11.8129	 3.0711
60	16366	  47	38.9	  11.8014	 3.1758
61	17728	  42	41.0	  11.7980	 3.0026
62	19313	  47	38.7	  11.7808	 3.0931
63	13232	   7	38.7	  11.8183	 2.9557
64	18135	  31	30.9	  11.7521	 2.9650
65	20070	  25	46.1	  11.8153	 3.2986
66	    0	   0	 0.0	   0.0000	 0.0000
67	15035	   5	28.2	  11.7375	 2.6990
68	20845	  23	31.6	  11.7643	 2.8463
69	20337	  32	23.6	  11.7764	 3.0485
70	19726	  19	22.5	  11.7721	 2.7882
71	    0	   0	 0.0	   0.0000	 0.0000
